precision,recall,f1-score,support
1.0,0.9831223628691983,0.9914893617021276,237.0
0.9984152139461173,1.0,0.9992069785884219,630.0
0.9966101694915255,0.9966101694915255,0.9966101694915255,295.0
0.9761092150170648,0.9879101899827288,0.9819742489270386,579.0
1.0,0.9884615384615385,0.9941972920696325,260.0
0.9785714285714285,0.9891696750902527,0.9838420107719928,277.0
0.9908814589665653,0.9863842662632375,0.9886277482941622,661.0
1.0,0.9979166666666667,0.9989572471324296,480.0
0.9918104708979234,0.9918104708979234,0.9918104708979234,0.9918104708979234
0.9925734357490876,0.9911968586031434,0.9918631321221664,3419.0
0.9918706494215033,0.9918104708979234,0.9918234625711668,3419.0
