precision,recall,f1-score,support
0.9914163090128756,0.9746835443037974,0.9829787234042553,237.0
1.0,0.9952380952380953,0.9976133651551313,630.0
0.9965397923875432,0.976271186440678,0.9863013698630138,295.0
0.943986820428336,0.9896373056994818,0.966273187183811,579.0
0.9885057471264368,0.9923076923076923,0.9904030710172745,260.0
0.9924528301886792,0.9494584837545126,0.9704797047970479,277.0
0.9939117199391172,0.9878971255673222,0.990895295902883,661.0
1.0,1.0,1.0,480.0
0.986545773618017,0.986545773618017,0.986545773618017,0.986545773618017
0.9883516523853735,0.9831866791639474,0.9856180896654272,3419.0
0.9869581304806311,0.986545773618017,0.9866051255538567,3419.0
